"g.recolher? ou armazenar? dados pessoais sobre outros utilizadores ou visitantes";" ,,,,,,"
"Or Sign In Using";"Ou Iniciar Sessão Usando"
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_TITLE";"Admin upgrade notification "
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_DESCRIPTION";"This is the email that gets sent to the admin when a member request upgrade membership."
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_BODY";"[header]

[sender_title] has requested to upgrade membership. Please click the following link to view it:

http://[host]/admin/user/upgrade-requests?email=[email]

[footer]"
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_SUBJECT";"[sender_title] has requested to upgrade membership."
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_BODYHTML";"[header]<br> <br> [sender_title] has requested to upgrade membership. Please click the following link to view it:<br> <br> http://[host]/admin/user/upgrade-requests?email=[sender_email]<br> <br> [footer]"
"_EMAIL_HEADER_SUBJECT";""
"_EMAIL_HEADER_BODYHTML";"Hello,"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_SUBJECT";"[sender_title]  pediu para segui-lo."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_BODYHTML";"[header] {PT}<br> <br> [sender_title] has requested to follow you. Please click the following link to sign in and confirm this request:<br> <br> http://[host][object_link]<br> <br> [footer]"
